timestamp,log_id,confidence,model_name,cpu,detection_boxes,model_processing_time,image_processing_time,absolute_time_from_start,utility
2025-10-20T13:34:52.564601,706,0.6191189686457316,yolov5n,59.0,6,0.20276665687561035,0.9539971351623535,249.21029806137085,0.1446761157777574
2025-10-20T13:34:45.127176,690,0.5996092557907104,yolov5n,44.6,3,0.4062023162841797,0.44219136238098145,241.77293944358826,0.40950294335683185
2025-10-20T13:34:47.311540,695,0.8441173136234283,yolov5n,46.4,2,0.3546144962310791,0.41986918449401855,243.95731019973755,0.6664122111267514
2025-10-20T13:34:46.325345,691,0,yolov5n,30.6,0,0.6456639766693115,1.2099642753601074,242.9710977077484,-1.0
2025-10-20T13:35:11.064794,748,0.7809044122695923,yolov5s,27.3,2,0.6552104949951172,1.2353479862213135,267.7105610370636,-0.18979108947753298
2025-10-20T13:35:11.398019,749,0.712994464806148,yolov5s,50.7,7,0.2856628894805908,1.1016521453857422,268.0437982082367,0.00969037733875111
2025-10-20T13:35:11.524600,750,0.6732440628111362,yolov5s,49.0,16,0.09470438957214355,0.7833681106567383,268.17037296295166,0.29359511244628167
2025-10-20T13:35:11.725552,751,0.5930218011140823,yolov5s,44.8,10,0.14530539512634277,0.54079270362854,268.3713057041168,0.3481369657648934
2025-10-20T13:35:11.847989,752,0.6525175902578566,yolov5s,47.8,9,0.09819793701171875,0.23254966735839844,268.49376797676086,0.5788788861698575
2025-10-20T13:35:08.053997,741,0.6595344373158046,yolov5n,36.7,7,0.7953505516052246,1.3569221496582031,264.6997742652893,-0.5543091481570162
2025-10-20T13:35:08.629639,742,0.5092393755912781,yolov5n,53.9,1,0.5210878849029541,1.4906506538391113,265.27540707588196,-0.9720609507866182
2025-10-20T13:35:08.804342,743,0.8265103101730347,yolov5s,52.1,2,0.14406967163085938,1.203258752822876,265.4501209259033,-0.08000678895561819
2025-10-20T13:35:08.927997,744,0.7254355639219284,yolov5s,52.1,10,0.09593605995178223,0.8836777210235596,265.5737781524658,0.2900590522421731
2025-10-20T13:35:05.119571,735,0.6305891672770182,yolov5n,24.1,3,0.500356912612915,1.1119639873504639,261.7653205394745,-0.09333858349615878
2025-10-20T13:35:05.249108,736,0.9364686608314514,yolov5n,45.6,1,0.09134483337402344,0.7710309028625488,261.89488101005554,0.563673714796702
2025-10-20T13:35:05.375037,737,0.49367682229388843,yolov5n,46.4,11,0.0756683349609375,0.4404017925262451,262.0207872390747,0.2855952328018491
2025-10-20T13:35:05.473044,738,0.761825700600942,yolov5n,43.0,3,0.060662269592285156,0.152113676071167,262.1188244819641,0.7328736583391826
2025-10-20T13:35:09.079240,745,0.6771526366472245,yolov5s,48.5,10,0.1121060848236084,0.5803489685058594,265.7247951030731,0.4102920985884137
2025-10-20T13:35:09.479716,746,0.8888393640518188,yolov5s,51.2,1,0.3449280261993408,0.57421875,266.12549352645874,0.6253845029407077
2025-10-20T13:35:09.668058,747,0.7979419628779093,yolov5s,49.8,12,0.1471395492553711,0.30946850776672363,266.31383180618286,0.681570569674174
2025-10-20T13:35:02.123880,728,0.6619499538625989,yolov5n,23.8,7,0.6252856254577637,1.189307689666748,258.7696259021759,-0.2166650468558965
2025-10-20T13:35:02.238724,729,0.6016048938035965,yolov5n,53.0,2,0.09507393836975098,0.9014708995819092,258.8845040798187,0.15634328292475808
2025-10-20T13:35:02.327466,730,0.7688130140304565,yolov5n,51.5,1,0.06665825843811035,0.5494179725646973,258.97323775291443,0.5191363626056247
2025-10-20T13:35:03.714206,733,0.6701642523209254,yolov5n,43.9,6,0.5451357364654541,0.6003656387329102,260.35998725891113,0.39218334191375304
2025-10-20T13:35:03.823826,734,0.5274708688259124,yolov5n,46.5,5,0.06821465492248535,0.2192072868347168,260.4695944786072,0.46124459836218085
2025-10-20T13:35:02.589920,731,0.8298929333686829,yolov5n,68.4,2,0.23759126663208008,0.3712649345397949,259.23569774627686,0.6791901919576857
2025-10-20T13:35:02.986979,732,0.7950942814350128,yolov5n,41.4,2,0.28737926483154297,0.3304457664489746,259.6327557563782,0.6670688556300269
2025-10-20T13:35:06.428350,739,0.8321220874786377,yolov5n,35.8,1,0.5835022926330566,0.6497762203216553,263.07412576675415,0.526690853966607
2025-10-20T13:35:06.548792,740,0.7007065415382385,yolov5n,46.7,2,0.08803510665893555,0.2886087894439697,263.19455671310425,0.5959238807360331
2025-10-20T13:35:36.755706,806,0.7777200222015381,yolov5n,51.5,5,0.3162674903869629,1.1858983039855957,293.4014799594879,-0.09407621397341714
2025-10-20T13:35:36.857010,807,0.4676082581281662,yolov5n,48.7,2,0.07303547859191895,0.8407385349273682,293.50278401374817,-0.04108811664690079
2025-10-20T13:35:36.942758,808,0.7005731264750162,yolov5n,44.6,3,0.055114030838012695,0.5094952583312988,293.5885384082794,0.47307576073540575
